car,price,body,miles,engV,engType,registration,year,model,drive,Age
BMW,3800,sedan,100,1.8,Petrol,yes,1992,318,rear,27
Chevrolet,4650,sedan,131,1.5,Gas,yes,2006,Aveo,front,13
VAZ,3300,sedan,120,1.6,Petrol,yes,2007,21099,front,12
Renault,12800,hatch,125,1.1,Diesel,yes,2012,Laguna,front,7
Opel,7700,hatch,90,1.4,Petrol,yes,2006,Astra H,front,13
VAZ,3450,sedan,93,1.6,Petrol,yes,2007,1118,front,12
Nissan,4000,sedan,1,2,Petrol,yes,1994,Maxima,front,25
Opel,6500,sedan,187,2.2,Petrol,yes,2004,Vectra C,front,15
Chevrolet,4899,crossover,76,1.7,Petrol,yes,2006,Niva,full,13
VAZ,1750,sedan,127,1.5,Other,yes,2003,2105,front,16
Geely,4100,other,87,1.6,Gas,yes,2008,MK,front,11
Daewoo,2400,hatch,20,1.6,Gas,yes,1998,Nubira,front,21
Audi,2850,sedan,350,NA,Gas,yes,1988,80,front,31
Hyundai,7700,hatch,97,1.4,Petrol,yes,2008,i30,front,11
VAZ,4400,hatch,73,1.6,Gas,yes,2011,2114,front,8
Renault,4300,van,1,1.5,Diesel,yes,2003,Kangoo пасс.,front,16
Mitsubishi,22400,crossover,96,2.5,Diesel,yes,2011,Pajero Sport,full,8
Renault,4600,sedan,230,1.5,Diesel,yes,2007,Kangoo пасс.,front,12
BMW,27800,crossover,140,3,Diesel,yes,2009,X5,full,10
Nissan,37900,crossover,92,5.6,Petrol,yes,2012,Patrol,full,7
Chevrolet,6600,hatch,50,1.5,Gas,yes,2013,Aveo,front,6
Volkswagen,9200,vagon,171,1.6,Petrol,yes,2008,Caddy пасс.,front,11
Ford,7300,sedan,146,1.6,Gas,yes,2006,Focus,front,13
Daewoo,3950,hatch,59,0.8,Petrol,yes,2009,Matiz,front,10
Lexus,14500,other,130,3.5,Petrol,yes,2007,ES 350,front,12
Ford,10990,sedan,72,1.6,Petrol,yes,2009,Focus,front,10
Volkswagen,2650,hatch,280,1.8,Petrol,yes,1987,Golf II,front,32
VAZ,3850,sedan,135,1.6,Petrol,yes,2007,2170,front,12
Audi,3150,sedan,10,2.8,Petrol,yes,1991,100,front,28
BMW,34900,crossover,65,2,Petrol,yes,2013,X3,full,6
Citroen,18154.5,other,0,1.6,Diesel,yes,2016,Berlingo пасс.,front,3
Citroen,24050.637,hatch,0,1.2,Diesel,yes,2016,C4,front,3
Subaru,8650,hatch,109,1.5,Petrol,yes,2008,Impreza,full,11
Opel,1750,hatch,110,1.2,Petrol,no,1998,Corsa,front,21
Smart,8300,other,112,0.7,Petrol,yes,2003,Roadster,rear,16
Toyota,10600,crossover,185,2,Gas,yes,2005,Rav 4,full,14
Mazda,2750,sedan,300,2,Diesel,no,2003,6,front,16
Land Rover,22500,crossover,168,3,Diesel,yes,2007,Range Rover Sport,full,12
Volkswagen,8400,hatch,60,1.39,Petrol,yes,2007,Polo,front,12
Renault,7500,other,160,2,Gas,yes,2006,Scenic,front,13
Volkswagen,6000,van,419,2.4,Diesel,yes,1995,T4 (Transporter) пасс.,front,24
Mitsubishi,5100,hatch,250,1.3,Gas,yes,2006,Colt,front,13
Opel,7700,van,154,1.3,Diesel,yes,2011,Combo пасс.,front,8
Mercedes-Benz,23900,sedan,96,3.5,Petrol,yes,2009,S 350,full,10
Opel,3500,vagon,238,2,Diesel,no,2004,Vectra C,front,15
Skoda,17000,sedan,80,1.4,Petrol,yes,2014,Octavia A7,front,5
Fiat,5400,van,194,1.3,Diesel,yes,2008,Doblo груз.,front,11
Ford,12500,hatch,50,0.9,Petrol,yes,2013,Focus,front,6
Opel,6950,hatch,190,1.6,Gas,yes,2005,Astra H,front,14
Audi,21900,other,114,3.2,Petrol,yes,2009,A5,full,10
Chevrolet,6100,sedan,117,NA,Gas,yes,2008,Aveo,front,11
Subaru,7800,vagon,240,2,Petrol,yes,2004,Forester,full,15
VAZ,3599,sedan,185,1.6,Petrol,yes,2009,Приора,front,10
Volkswagen,3500,hatch,201,1.9,Diesel,no,2002,Golf IV,front,17
Volkswagen,5800,sedan,200,1.4,Petrol,yes,2000,Golf IV,front,19
Hyundai,17200,crossover,45,2,Petrol,yes,2013,IX35,front,6
Fiat,8900,van,106,NA,Gas,yes,2013,Doblo пасс.,front,6
Skoda,13500,sedan,95,1.8,Petrol,yes,2012,Octavia A5,front,7
Opel,6499,sedan,146,2.2,Diesel,yes,2003,Omega,rear,16
VAZ,1900,sedan,100,1.5,Other,yes,1993,21099,front,26
VAZ,0,vagon,39,1.3,Gas,yes,1988,2104,rear,31
Audi,2450,vagon,240,2.5,Diesel,no,2000,A4,front,19
Chevrolet,10999,crossover,96,3.2,Gas,yes,2007,Captiva,full,12
Mitsubishi,16000,crossover,147,2.5,Diesel,yes,2008,Pajero Sport,full,11
Chevrolet,6300,sedan,123,1.6,Petrol,yes,2008,Lacetti,front,11
Hyundai,16000,crossover,175,3.8,Gas,yes,2007,ix55 (Veracruz),full,12
Skoda,21924,sedan,0,1.4,Petrol,yes,2016,Octavia A7,front,3
Volkswagen,17500,sedan,144,1.4,Petrol,yes,2012,Passat CC,front,7
Audi,15500,vagon,180,2,Diesel,yes,2007,A6,front,12
Audi,23400,crossover,105,4.2,Gas,yes,2007,Q7,full,12
Chevrolet,10000,sedan,62,1.6,Gas,yes,2011,Cruze,front,8
Nissan,14500,crossover,186,2.5,Diesel,yes,2006,Pathfinder,full,13
Toyota,9200,sedan,115,1.6,Gas,yes,2008,Corolla,front,11
Mitsubishi,11300,crossover,209,3.5,Petrol,yes,1999,Pajero Wagon,full,20
Hyundai,31500,crossover,1,2,Petrol,yes,2016,Tucson,full,3
Fiat,7100,other,103,1.3,Diesel,yes,2007,Doblo пасс.,front,12
Skoda,6800,hatch,153,1.4,Gas,yes,2008,Fabia,front,11
Fiat,3750,van,185,1.9,Diesel,yes,2001,Doblo груз.,front,18
Skoda,12000,hatch,91,1.8,Petrol,yes,2011,Octavia A5,front,8
Skoda,14500,sedan,40,1.8,Petrol,yes,2012,Octavia A5,front,7
Mitsubishi,0,crossover,205,2.5,Diesel,yes,2006,Pajero Sport,full,13
VAZ,2500,sedan,187,1.5,Gas,yes,2005,21099,front,14
Volkswagen,10000,sedan,98,1.6,Petrol,yes,2013,Polo,front,6
Toyota,18800,sedan,47,2.4,Petrol,yes,2009,Camry,front,10
Peugeot,8900,other,92,1.6,Petrol,yes,2004,206,front,15
Bentley,449999,crossover,0,6,Petrol,yes,2016,Bentayga,full,3
Audi,22500,sedan,124,3,Diesel,yes,2008,A8,full,11
Mitsubishi,5700,vagon,120,1.3,Petrol,yes,2005,Colt,front,14
Daewoo,3900,sedan,85,1.4,Petrol,yes,2007,Lanos,front,12
Subaru,13000,crossover,170,3,Gas,yes,2006,Tribeca,full,13
Volkswagen,3700,crossover,267,NA,Diesel,no,2000,Golf IV,full,19
Audi,4799,vagon,260,2.5,Diesel,no,2002,A6 Allroad,full,17
Nissan,7500,sedan,200,2,Petrol,yes,2003,Primera,front,16
Renault,4599,van,190,1.5,Diesel,yes,2003,Kangoo пасс.,front,16
Skoda,5900,hatch,76,1.2,Petrol,yes,2007,Fabia,front,12
Mitsubishi,17555,crossover,115,3,Gas,yes,2008,Pajero Wagon,full,11
Mitsubishi,10500,sedan,130,2,Petrol,yes,2008,Lancer X,front,11
Volkswagen,5000,vagon,265,2,Diesel,no,2006,Passat B6,front,13
Mazda,3000,sedan,234,2,Gas,yes,1993,626,front,26
BMW,4500,vagon,360,2,Petrol,yes,1993,520,rear,26
Volkswagen,7990,sedan,180,1.8,Gas,yes,2005,Passat B5,front,14
Mitsubishi,2600,vagon,93,2.5,Petrol,no,1997,Galant,front,22
Renault,13000,hatch,75,2,Petrol,yes,2013,Megane,front,6
VAZ,5200,sedan,88,1.6,Other,yes,2011,2115,front,8
Renault,12399,van,177,2,Diesel,yes,2009,Trafic пасс.,front,10
Audi,8600,sedan,154,1.8,Petrol,yes,2001,A6,front,18
Volkswagen,8800,hatch,168,1.2,Diesel,yes,2013,Polo,front,6
Audi,28500,sedan,74,1.8,Petrol,yes,2012,A4,front,7
Nissan,12300,hatch,20,1.2,Petrol,yes,2013,Micra,front,6
Volkswagen,6000,hatch,195,1.2,Gas,yes,2004,Polo,front,15
Jeep,12500,crossover,149,2.8,Diesel,yes,2008,Cherokee,full,11
Skoda,8550,hatch,145,1.4,Diesel,yes,2010,Fabia,front,9
Hyundai,7500,hatch,60,1.1,Petrol,yes,2011,i10,front,8
Fiat,9700,other,201,2,Diesel,yes,2007,Scudo пасс.,front,12
GAZ,15000,sedan,1,12,Petrol,yes,1962,21,rear,57
VAZ,1799,sedan,5,1.3,Gas,yes,1987,2105,rear,32
Skoda,8200,vagon,175,1.6,Gas,yes,2008,Octavia,front,11
Toyota,6500,sedan,248,2,Petrol,yes,2001,Avensis,front,18
VAZ,3000,sedan,88,1.6,Petrol,yes,2006,1118,front,13
Citroen,6700,hatch,117,1.6,Petrol,yes,2006,C4,front,13
Skoda,15300,vagon,140,1.6,Diesel,yes,2012,Superb,front,7
Chevrolet,4700,hatch,133,1.5,Petrol,yes,2005,Aveo,front,14
Renault,6800,van,185,1.6,Other,yes,2006,Kangoo пасс.,front,13
Mercedes-Benz,5000,sedan,350,1.8,Other,yes,1995,C-Class,rear,24
Peugeot,5600,other,126,1.6,Diesel,yes,2012,Partner груз.,front,7
Opel,4900,vagon,251,1.8,Petrol,yes,1997,Vectra B,front,22
Jaguar,26000,sedan,17,3,Petrol,yes,2009,XF,rear,10
Ford,5400,hatch,248,1.8,Petrol,yes,2002,Focus,front,17
Peugeot,7500,hatch,112,1.4,Gas,yes,2010,207,front,9
Mercedes-Benz,8700,sedan,196,2,Gas,yes,2000,E-Class,rear,19
Nissan,16500,crossover,210,2.5,Diesel,yes,2007,Pathfinder,full,12
Volkswagen,7700,vagon,287,1.9,Diesel,yes,2002,Sharan,front,17
Volvo,15500,sedan,99,2,Petrol,yes,2011,S40,front,8
Honda,15000,hatch,65,1.8,Petrol,yes,2010,Civic,front,9
BMW,32500,sedan,148,3,Petrol,yes,2011,535,rear,8
VAZ,926.25,vagon,200,1.5,Petrol,yes,1999,2104,rear,20
Opel,10700,van,250,2.5,Diesel,yes,2007,Vivaro пасс.,front,12
Ford,11400,hatch,42,1,Petrol,yes,2013,Focus,front,6
Peugeot,4800,van,362,2,Diesel,yes,2002,Expert пасс.,front,17
Audi,0,sedan,60,6.3,Petrol,yes,2013,A8,full,6
Mercedes-Benz,40000,crossover,152,5,Gas,yes,2006,G 500,full,13
Nissan,9500,sedan,155,99.99,Gas,yes,2007,Teana,front,12
BMW,3500,sedan,280,NA,Petrol,no,1996,730,rear,23
VAZ,1450,sedan,13,NA,Petrol,yes,1996,2107,rear,23
Toyota,28500,crossover,97,3.5,Petrol,yes,2012,Highlander,full,7
Mitsubishi,18900,crossover,93,3.8,Gas,yes,2008,Pajero Wagon,full,11
Mercedes-Benz,11900,sedan,110,2.57,Petrol,yes,2004,C-Class,full,15
Ford,6800,hatch,86,1.25,Gas,yes,2009,Fiesta,front,10
Renault,0,van,150,2.5,Diesel,yes,2007,Trafic пасс.,front,12
Toyota,6900,hatch,92,1.3,Petrol,yes,2006,Yaris,front,13
Volkswagen,31310,van,0,2,Diesel,yes,2014,Touran,front,5
Daewoo,4700,sedan,165,1.6,Gas,yes,2006,Lanos,front,13
Mercedes-Benz,3250,sedan,250,4,Diesel,no,2002,S 400,rear,17
Volkswagen,11818.95,sedan,1,1.6,Petrol,yes,2014,Polo,front,5
Volkswagen,3500,sedan,3,1.8,Petrol,yes,1991,Passat B3,front,28
Opel,8600,hatch,108,1.2,Petrol,yes,2012,Corsa,front,7
BMW,85900,crossover,19,3,Diesel,yes,2015,X6,full,4
Opel,3950,sedan,225,1.8,Petrol,yes,1998,Vectra B,front,21
Volkswagen,10493,other,1,1.4,Petrol,yes,2014,Polo,front,5
Mercedes-Benz,28000,other,250,3,Diesel,yes,2008,GL 320,full,11
Audi,9500,vagon,160,2.7,Gas,yes,2003,A6 Allroad,full,16
ZAZ,1600,hatch,86,1.2,Petrol,yes,2004,1102 Таврия,front,15
BMW,5000,other,300,1.8,Petrol,yes,1994,318,rear,25
Seat,7800,hatch,199,1.8,Petrol,yes,2005,Leon,front,14
Kia,11700,crossover,140,NA,Diesel,yes,2010,Soul,front,9
Chrysler,3900,sedan,180,2.5,Petrol,yes,1995,Stratus,front,24
Opel,9900,vagon,143,1.91,Diesel,yes,2008,Astra H,front,11
Honda,14000,sedan,104,2,Gas,yes,2008,Accord,front,11
Mercedes-Benz,0,crossover,154,3,Diesel,yes,2009,ML 320,full,10
Honda,11000,sedan,202,2,Petrol,yes,2007,Accord,front,12
Honda,9700,hatch,110,1.8,Petrol,yes,2007,Civic,front,12
Peugeot,5250,van,240,2,Diesel,yes,2004,Expert пасс.,front,15
Mitsubishi,7300,sedan,112,1.6,Petrol,yes,2008,Lancer,front,11
Land Rover,79500,crossover,40,5,Petrol,yes,2014,Range Rover Sport,full,5
VAZ,1250,hatch,117,1.5,Gas,yes,2005,2109,front,14
Skoda,7600,vagon,167,1.6,Petrol,yes,2007,Octavia,front,12
Land Rover,39900,crossover,112,5,Petrol,yes,2010,Range Rover,full,9
Toyota,7500,hatch,74,1.3,Petrol,yes,2008,Yaris,front,11
BMW,12090,hatch,145,1.6,Petrol,yes,2010,116,rear,9
Audi,3050,vagon,250,2.5,Other,no,2001,A6,front,18
Renault,4000,van,194,1.9,Diesel,yes,2000,Kangoo пасс.,front,19
Chevrolet,6900,sedan,118,1.8,Petrol,yes,2008,Lacetti,front,11
Smart,7590,other,61,1,Other,yes,2012,Fortwo,rear,7
Toyota,51500,crossover,70,3,Diesel,yes,2015,Land Cruiser Prado,full,4
Peugeot,5350,van,188,1.9,Diesel,yes,2004,Partner пасс.,front,15
Mercedes-Benz,38500,sedan,134,3,Diesel,yes,2010,S 350,rear,9
Mitsubishi,4200,sedan,270,2,Gas,yes,1998,Galant,front,21
Volkswagen,2600,van,10,2.4,Diesel,yes,1988,LT пасс.,rear,31
Mitsubishi,3200,sedan,330,1.3,Gas,yes,1996,Lancer,front,23
Audi,5999,vagon,248,2.5,Diesel,yes,2000,A6,full,19
Volkswagen,52300,crossover,19,3,Diesel,yes,2014,Touareg,full,5
Geely,5300,sedan,70,1.8,Gas,yes,2013,Emgrand 7 (EC7),front,6
Peugeot,14799,vagon,130,1.6,Diesel,yes,2012,508,front,7
BMW,26500,sedan,70,3,Petrol,yes,2008,330,rear,11
Audi,43000,crossover,1,2,Petrol,yes,2016,Q3,full,3
BMW,139000,crossover,0,4.4,Petrol,yes,2016,X6 M,full,3
Daewoo,2800,sedan,171,1.3,Gas,yes,2004,Sens,front,15
Mercedes-Benz,3750,vagon,330,2.2,Gas,yes,1995,E-Class,rear,24
Mitsubishi,4500,sedan,300,1.6,Gas,yes,2000,Carisma,front,19
Citroen,11700,hatch,72,1.6,Diesel,yes,2012,C4,front,7
Porsche,0,crossover,68,4.8,Petrol,yes,2007,Cayenne,full,12
Mazda,8000,sedan,195,1.8,Gas,yes,2007,6,front,12
BMW,23500,crossover,74,2,Petrol,yes,2010,X1,rear,9
Opel,9100,hatch,106,2.2,Petrol,yes,2008,Vectra C,front,11
VAZ,1700,hatch,57,1.5,Petrol,yes,1992,21093,front,27
BMW,0,crossover,4,4.4,Petrol,yes,2016,X5 M,full,3
Chevrolet,5490,sedan,187,1.8,Petrol,yes,2007,Lacetti,front,12
Ford,16400,sedan,125,2.5,Petrol,yes,2012,Kuga,full,7
Ford,10900,sedan,89,2.5,Petrol,yes,2008,Mondeo,front,11
Toyota,88000,crossover,3,4.5,Diesel,yes,2016,Land Cruiser 200,full,3
Ford,16900,sedan,80,2,Petrol,yes,2011,Mondeo,front,8
Audi,4800,sedan,341,2.8,Petrol,yes,1992,100,front,27
VAZ,4000,sedan,146,1.6,Gas,yes,2007,2170,front,12
Renault,7500,vagon,168,1.5,Diesel,yes,2005,Grand Scenic,front,14
Audi,34500,sedan,71,2.8,Petrol,yes,2012,A6,full,7
BMW,24500,crossover,195,4.8,Petrol,yes,2007,X5,full,12
Mercedes-Benz,23700,sedan,86,1.8,Gas,yes,2013,E-Class,rear,6
FAW,4900,sedan,37,1.5,Petrol,yes,2013,V5,front,6
BMW,66500,crossover,0,2,Other,yes,2016,X5,full,3
Volkswagen,21900,sedan,107,3,Diesel,yes,2009,Phaeton,full,10
Infiniti,13400,crossover,137,4.5,Gas,yes,2004,FX 45,full,15
Daewoo,3500,hatch,220,1.5,Petrol,yes,1998,Lanos,front,21
Mazda,8900,sedan,122,2,Petrol,yes,2006,6,front,13
Chevrolet,5900,sedan,164,1.8,Gas,yes,2006,Lacetti,front,13
Audi,16300,vagon,180,3.2,Petrol,yes,2006,A6 Allroad,full,13
Volkswagen,6700,van,16,2,Diesel,yes,2005,Caddy пасс.,front,14
Mitsubishi,8500,sedan,110,2,Petrol,yes,2008,Lancer X,front,11
Porsche,23900,crossover,74,4.8,Petrol,yes,2008,Cayenne,full,11
Skoda,5800,hatch,161,1.4,Petrol,yes,2005,Fabia,front,14
Nissan,14300,hatch,68,NA,Other,yes,2013,Leaf,front,6
Subaru,8700,hatch,112,1.5,Petrol,yes,2008,Impreza,full,11
Kia,9500,hatch,45,1.2,Other,yes,2012,Picanto,front,7
Skoda,5550,hatch,147,1.2,Petrol,yes,2008,Fabia,front,11
Audi,34000,crossover,119,2,Diesel,yes,2013,Q5,full,6
Opel,2950,vagon,278,2,Gas,yes,1995,Omega,rear,24
Mercedes-Benz,14800,sedan,218,3.2,Diesel,yes,2004,S 320,rear,15
Jeep,7200,crossover,200,4,Gas,yes,2001,Grand Cherokee,full,18
Peugeot,11900,hatch,117,1.6,Diesel,yes,2011,308,front,8
Nissan,17000,hatch,22,NA,Other,yes,2013,Leaf,rear,6
Hyundai,11990,sedan,36,1.4,Petrol,yes,2013,Accent,front,6
Hyundai,19500,crossover,105,3,Diesel,yes,2008,ix55 (Veracruz),full,11
Hyundai,39500,crossover,1,2.2,Diesel,yes,2014,Santa FE,full,5
Land Rover,43000,crossover,70,3.6,Diesel,yes,2010,Range Rover,full,9
Infiniti,25700,crossover,120,3.5,Petrol,yes,2009,FX 35,full,10
Land Rover,74000,crossover,49,3,Diesel,yes,2015,Range Rover Sport,full,4
Geely,3250,sedan,129,1.5,Gas,yes,2008,CK,front,11
Volkswagen,24000,sedan,3,1.6,Diesel,yes,2016,Jetta,front,3
Renault,4000,sedan,215,1.9,Diesel,no,2005,Laguna,front,14
Chevrolet,6000,sedan,140,1.5,Petrol,yes,2010,Aveo,front,9
VAZ,3000,sedan,140,1.5,Petrol,yes,2002,2110,front,17
Skoda,12300,sedan,56,1.2,Petrol,yes,2014,Rapid,front,5
Toyota,11550,sedan,95,2.4,Petrol,yes,2007,Camry,front,12
Peugeot,9200,hatch,39,1,Petrol,yes,2012,107,front,7
Nissan,9800,crossover,65,2,Petrol,yes,2010,Qashqai,front,9
Mercedes-Benz,13500,van,97,2.2,Diesel,yes,2013,Vito груз.,rear,6
Geely,8800,sedan,53,1.8,Petrol,yes,2013,Emgrand 7 (EC7),front,6
Mercedes-Benz,12500,sedan,230,5,Petrol,yes,2002,E-Class,rear,17
Toyota,20500,sedan,105,2.5,Petrol,yes,2013,Camry,front,6
Daewoo,2100,hatch,100,0.8,Petrol,yes,2006,Matiz,front,13
Daewoo,3700,sedan,86,1.3,Petrol,yes,2010,Sens,front,9
Mazda,7999,sedan,91,1.6,Petrol,yes,2008,3,front,11
Audi,19999,crossover,117,4.2,Petrol,yes,2007,Q7,full,12
Alfa Romeo,15999,hatch,60,1.4,Petrol,yes,2012,Giulietta,front,7
Honda,30500,crossover,0,2.4,Petrol,yes,2015,CR-V,full,4
Nissan,13700,crossover,68,2,Gas,yes,2011,Qashqai,front,8
Volkswagen,8900,sedan,62,1.6,Petrol,yes,2012,Polo,front,7
Nissan,21700,crossover,29,2,Diesel,yes,2013,X-Trail,full,6
Toyota,19400,crossover,88,2,Petrol,yes,2011,Rav 4,full,8
Hyundai,12650,hatch,36,1.4,Diesel,yes,2014,i30,front,5
Audi,29999,sedan,97,3,Petrol,yes,2011,S5,full,8
Mazda,10650,crossover,65,2.3,Petrol,yes,2007,CX-7,full,12
Renault,8900,van,181,1.9,Diesel,yes,2006,Trafic пасс.,front,13
Skoda,24999,sedan,44,2,Diesel,yes,2016,Octavia A7,front,3
Hummer,18400,crossover,147,3.5,Gas,yes,2007,H3,full,12
BMW,27900,crossover,140,3,Diesel,yes,2009,X5,full,10
Lexus,14200,sedan,130,3,Petrol,yes,2008,IS 300,rear,11
Skoda,17500,sedan,58,NA,Petrol,yes,2011,Superb,front,8
Nissan,8900,crossover,100,2,Petrol,yes,2008,X-Trail,full,11
Mercedes-Benz,7700,sedan,285,3,Diesel,yes,1999,E-Class,rear,20
VAZ,4100,crossover,117,1.7,Petrol,yes,2008,2121,full,11
Mazda,10800,crossover,85,2.3,Petrol,yes,2008,CX-7,full,11
VAZ,3150,hatch,95,1.6,Gas,yes,2008,2109,front,11
VAZ,5300,sedan,62,1.6,Petrol,yes,2012,2115,front,7
UAZ,6900,crossover,117,2.7,Petrol,yes,2008,Патриот,full,11
Hyundai,6200,hatch,59,1.4,Petrol,yes,2008,Getz,front,11
Hyundai,14800,crossover,88,2,Gas,yes,2010,IX35,full,9
Lexus,23500,sedan,90,3.5,Petrol,yes,2010,GS 350,full,9
Skoda,4100,vagon,150,1.4,Petrol,yes,2002,Fabia,front,17
Mitsubishi,10500,sedan,57,1.5,Gas,yes,2011,Lancer X,front,8
Toyota,13200,sedan,38,1.33,Petrol,yes,2014,Corolla,front,5
Toyota,23700,sedan,100,2.5,Gas,yes,2014,Camry,front,5
Ford,17600,crossover,83,2.5,Gas,yes,2011,Kuga,full,8
Volkswagen,9200,van,248,1.9,Diesel,yes,2007,T5 (Transporter) груз,front,12
Skoda,8600,hatch,240,NA,Petrol,yes,2003,Octavia,front,16
Peugeot,11200,sedan,105,1.6,Diesel,yes,2013,301,front,6
Opel,4800,vagon,250,1.3,Diesel,yes,2006,Combo пасс.,front,13
Daewoo,3700,sedan,185,NA,Gas,yes,2007,Nexia,front,12
Audi,48000,crossover,90,3,Diesel,yes,2013,Q7,full,6
Mercedes-Benz,13500,van,290,2.2,Diesel,yes,2007,Vito пасс.,rear,12
Honda,9900,crossover,86,2,Petrol,yes,2004,CR-V,full,15
Mercedes-Benz,83000,crossover,70,3,Diesel,yes,2013,GL 350,full,6
Hyundai,7500,sedan,150,3.3,Gas,yes,2006,Sonata,front,13
Mercedes-Benz,6500,other,315,2,Petrol,yes,1996,E-Class,rear,23
VAZ,3000,sedan,99,1.3,Petrol,yes,1990,2109,front,29
Renault,10999,vagon,216,1.5,Diesel,yes,2012,Megane,full,7
Opel,4500,sedan,258,2,Gas,yes,1996,Omega,rear,23
Mercedes-Benz,24750,sedan,212,5.5,Petrol,yes,2006,S 500,rear,13
Honda,5500,crossover,169,2,Gas,no,2002,CR-V,full,17
Peugeot,11500,sedan,146,2,Petrol,yes,2010,407,front,9
Lexus,25500,sedan,185,4.6,Petrol,yes,2008,LS 460,rear,11
Nissan,13000,crossover,159,3.5,Petrol,yes,2007,Murano,full,12
Toyota,14000,sedan,1,1.8,Petrol,yes,2008,Avensis,front,11
Renault,8999,other,126,2,Diesel,yes,2012,Trafic груз.,front,7
Mercedes-Benz,13000,other,247,2.2,Diesel,yes,2012,Sprinter 313 груз.,rear,7
Renault,10299,other,176,2,Diesel,yes,2013,Trafic груз.,front,6
Volkswagen,9400,hatch,187,1.6,Petrol,yes,2008,Golf V,front,11
Ford,2500,van,200,2,Gas,yes,1991,Transit пасс.,rear,28
Audi,2500,hatch,200,1.6,Petrol,no,1999,A3,front,20
Opel,8800,van,285,1.9,Diesel,yes,2004,Vivaro пасс.,front,15
Nissan,5500,sedan,260,1.8,Gas,yes,1999,Primera,front,20
Volkswagen,5900,sedan,217,2.3,Petrol,yes,1999,Bora,front,20
Suzuki,7700,crossover,179,2,Petrol,yes,2003,Grand Vitara,full,16
Mercedes-Benz,7700,sedan,230,2,Petrol,yes,2001,C-Class,rear,18
Volkswagen,12700,van,75,1.2,Petrol,yes,2012,Caddy пасс.,front,7
Peugeot,7800,van,167,2.2,Diesel,yes,2008,Boxer груз.,front,11
Hyundai,17500,crossover,100,2,Other,yes,2012,IX35,full,7
Volkswagen,10300,hatch,110,1.9,Diesel,yes,2008,Caddy пасс.,front,11
Fiat,2300,hatch,286,1.6,Petrol,yes,1991,Tipo,front,28
Mercedes-Benz,18700,sedan,105,5.5,Petrol,yes,2006,S 500,rear,13
Renault,5200,sedan,160,1.4,Gas,yes,2008,Symbol,front,11
Nissan,23500,crossover,154,2.49,Diesel,yes,2011,Murano,full,8
Volkswagen,17200,crossover,220,2.5,Diesel,yes,2006,Touareg,full,13
Land Rover,39900,crossover,70,3,Diesel,yes,2011,Range Rover Sport,full,8
Skoda,14700,vagon,77,1.8,Petrol,yes,2012,Octavia Scout,full,7
Volkswagen,6400,van,312,2.5,Diesel,yes,2000,T4 (Transporter) груз,full,19
Chrysler,25800,sedan,100,3.5,Gas,yes,2010,300 C,rear,9
Volkswagen,21500,sedan,2,1.6,Diesel,yes,2016,Jetta,front,3
Ford,1600,sedan,51,2,Gas,yes,1983,Sierra,rear,36
Chery,3300,sedan,79,1.6,Petrol,yes,2007,Amulet,front,12
Rover,3200,sedan,130,1.4,Petrol,yes,1988,200,front,31
Renault,5400,sedan,96,1.4,Petrol,yes,2007,Symbol,front,12
Peugeot,2800,sedan,244,2,Gas,yes,1990,605,front,29
Mercedes-Benz,31000,crossover,220,3.2,Diesel,yes,2008,GL 320,full,11
Volkswagen,9600,van,148,1.6,Diesel,yes,2011,Caddy груз.,front,8
Nissan,17500,hatch,50,NA,Other,yes,2014,Leaf,front,5
Mazda,6700,sedan,240,1.8,Petrol,yes,2004,6,front,15
Skoda,11999,sedan,80,1.8,Petrol,yes,2012,Octavia A5,front,7
Daewoo,3900,sedan,129,1.5,Petrol,yes,2008,Lanos,front,11
Toyota,9300,sedan,107,1.8,Gas,yes,2007,Avensis,front,12
Mercedes-Benz,40500,crossover,54,5.5,Petrol,yes,2011,GL 500,full,8
Renault,12800,vagon,127,1.5,Diesel,yes,2011,Megane,front,8
Toyota,12800,sedan,181,2.4,Petrol,yes,2008,Camry,front,11
Hyundai,9400,sedan,90,2,Petrol,yes,2009,Sonata,front,10
VAZ,1799,sedan,95,1.6,Petrol,yes,2003,2107,rear,16
Volkswagen,22500,other,200,2,Petrol,yes,2011,Scirocco,front,8
Toyota,9500,sedan,125,1.6,Petrol,yes,2009,Corolla,front,10
Kia,16300,crossover,100,1.7,Diesel,yes,2012,Sportage,front,7
Kia,6500,crossover,200,2,Petrol,yes,1997,Sportage,full,22
VAZ,5250,hatch,82,1.6,Gas,yes,2012,2114,front,7
Nissan,18500,hatch,50,NA,Other,yes,2014,Leaf,front,5
Mercedes-Benz,0,van,0,2.2,Diesel,yes,2016,V 250,full,3
Renault,5700,van,180,1.5,Diesel,yes,2007,Kangoo пасс.,front,12
BMW,2700,sedan,220,2.5,Petrol,no,2002,525,rear,17
Mercedes-Benz,2150,sedan,360,2.9,Diesel,no,1997,E-Class,rear,22
Hyundai,15500,crossover,22,2,Petrol,yes,2010,IX35,front,9
Volkswagen,9500,van,188,1.9,Diesel,yes,2006,T5 (Transporter) пасс.,front,13
Chevrolet,6300,sedan,150,NA,Gas,yes,2008,Aveo,front,11
Skoda,4700,hatch,145,1.2,Gas,yes,2004,Fabia,front,15
Opel,11000,sedan,115,2.2,Petrol,yes,2007,Vectra C,front,12
Volkswagen,15850,crossover,98,2,Diesel,yes,2008,Tiguan,full,11
